Descrição dos alimentos;Energia(kcal);Carboidrato(g);Lipídeos(g);Proteína(g)
Arroz, integral, cozido;124;25,8;1,0;2,6
Arroz, integral, cru;360;77,5;1,9;7,3
Arroz, tipo 1, cozido;128;28,1;0,2;2,5
Arroz, tipo 1, cru;358;78,8;0,3;7,2
Arroz, tipo 2, cozido;130;28,2;0,4;2,6
Arroz, tipo 2, cru;358;78,9;0,3;7,2
Aveia, flocos, crua;394;66,6;8,5;13,9
Biscoito, doce, maisena;443;75,2;12,0;8,1
Biscoito, doce, recheado com chocolate;472;70,5;19,6;6,4
Biscoito, doce, recheado com morango;471;71,0;19,6;5,7
Biscoito, doce, wafer, recheado de chocolate;502;67,5;24,7;5,6
Biscoito, doce, wafer, recheado de morango;513;67,4;26,4;4,5
Biscoito, salgado, cream cracker;432;68,7;14,4;10,1
Bolo, mistura para;419;84,7;6,1;6,2
Bolo, pronto, aipim;324;47,9;12,7;4,4
Bolo, pronto, chocolate;410;54,7;18,5;6,2
Bolo, pronto, coco;333;52,3;11,3;5,7
Bolo, pronto, milho;311;45,1;12,4;4,8
Canjica, branca, crua;358;78,1;1,0;7,2
Canjica, com leite integral;112;23,6;1,2;2,4
Cereais, milho, flocos, com sal;370;80,8;1,6;7,3
Cereais, milho, flocos, sem sal;363;80,4;1,2;6,9
Cereais, mingau, milho, infantil;394;87,3;1,1;6,4
Cereais, mistura para vitamina, trigo, cevada e aveia;381;81,6;2,1;8,9
Cereal matinal, milho;365;83,8;1,0;7,2
Cereal matinal, milho, açúcar;377;88,8;0,7;4,7
Creme de arroz, pó;386;83,9;1,2;7,0
Creme de milho, pó;333;86,1;1,6;4,8
Curau, milho verde;78;13,9;1,6;2,4
Curau, milho verde, mistura para;402;79,8;13,4;2,2
Farinha, de arroz, enriquecida;363;85,5;0,3;1,3
Farinha, de centeio, integral;336;73,3;1,8;12,5
Farinha, de milho, amarela;351;79,1;1,5;7,2
Farinha, de rosca;371;75,8;1,5;11,4
Farinha, de trigo;360;75,1;1,4;9,8
Farinha, láctea, de cereais;415;77,8;5,8;11,9
Lasanha, massa fresca, cozida;164;32,5;1,2;5,8
Lasanha, massa fresca, crua;220;45,1;1,3;7,0
Macarrão, instantâneo;436;62,4;17,2;8,8
